0	1.88	1.77
1	25.61	1.53
2	32.88	0.34
3	48.62	11.89
4	69.78	8.50
5	82.05	5.76
6	99.14	3.13
7	2.13	27.33
8	26.73	15.90
9	31.48	20.79
10	48.95	21.00
11	62.03	17.43
12	78.23	25.50
13	97.68	23.41
14	13.94	35.10
15	22.25	30.77
16	31.99	32.86
17	46.44	42.72
18	70.37	41.49
19	79.37	34.05
20	99.58	41.21
21	4.93	43.99
22	28.41	56.11
23	36.16	50.90
24	51.31	45.94
25	70.37	48.52
26	77.42	46.07
27	90.45	46.40
28	9.26	59.12
29	22.39	66.87
30	31.06	58.48
31	54.00	64.91
32	66.98	61.22
33	85.53	69.07
34	90.89	64.19
35	6.91	75.22
36	27.66	85.06
37	34.88	76.26
38	51.02	80.44
39	67.81	80.74
40	85.26	83.21
41	98.33	76.16
42	12.52	96.82
43	21.09	98.74
44	33.19	91.08
45	55.65	96.64
46	65.65	90.15
47	74.44	87.84
48	89.08	87.17
