0	35.06	79.74
1	17.28	11.23
2	53.06	57.75
3	68.40	97.47
4	56.69	33.12
5	95.26	40.30
6	9.71	65.12
7	30.92	45.16
8	36.55	46.82
9	14.82	32.69
10	31.02	4.92
11	19.44	41.97
12	1.38	34.04
13	38.51	68.90
14	46.77	68.02
15	4.03	80.94
16	2.49	21.85
17	0.53	50.60
18	75.41	34.50
19	35.25	67.13
20	14.17	4.98
21	5.47	18.19
22	23.83	41.83
23	75.89	81.45
24	39.39	39.84
25	42.62	30.12
26	18.90	56.65
27	13.22	35.27
28	2.74	86.78
29	77.22	43.36
30	13.22	20.87
31	75.73	17.80
32	35.91	33.89
33	4.85	59.43
34	32.73	67.72
35	3.09	63.23
36	85.55	60.55
37	80.42	25.51
38	58.65	28.60
39	43.20	89.43
40	98.72	23.91
41	58.00	5.12
42	61.51	76.22
43	75.15	85.37
44	66.11	76.47
45	2.86	57.67
46	29.63	74.95
47	81.93	49.03
48	27.75	48.04
